Timestamp,RSRP,RSSI,SNR
1561518989.02833,-87,-81.1,19
1561562191.12353,-86.2,-80.3,22
1561605398.77645,-86.9,-81.1,19.1
1561648599.05012,-87,-81.1,19.7
1561691806.7546,-87.7,-81.9,21.1
1561735008.05291,-87.1,-79.3,20.6
1561778213.12437,-86.7,-80.8,20.1
1561821414.34706,-86,-80.3,22.4
1561864616.89712,-86.2,-80.5,23.6
1561907818.51304,-86.9,-81,21.1
1561951024.29455,-86,-80.3,22.3
1561994231.27346,-85.9,-80.1,22.6
1562037433.96727,-86,-80.1,22.3
1562080639.32965,-86.6,-80.8,21.9
1562123840.14372,-86.1,-80.3,21.7
1562167040.18085,-85.4,-79.7,24.1
1562210242.50553,-86.8,-81,21.7
1562253444.38701,-85.7,-80,23.8
1562296652.43247,-86,-80.2,22.9
1562339858.0042,-85.7,-79.9,23.8
1562383065.92965,-85.8,-79.9,20.2
1562426274.28212,-86.1,-80.3,21.6
1562469477.88587,-85.6,-79.9,23.3
1562512683.53895,-85.2,-79.4,22.6
1562555884.42392,-85.1,-79.3,23.7
1562599087.4516,-86.6,-80.9,22.7
1562642295.10643,-85.8,-80,23.7
1562685503.01253,-86,-77.1,21.7
1562728703.02067,-86.4,-80.6,22.7
1562771904.58145,-86.9,-81.1,21.8
1562815113.13063,-86.7,-76.4,19.4
1562858315.78423,-86.9,-81.1,21.8
1562901524.59646,-86.3,-80.5,21.8
1562944725.18566,-86.5,-80.7,20.5
1562987931.23553,-85.5,-79.7,21.2
1563031139.87567,-86.7,-76.1,21.6
1563074340.35059,-85.8,-80,20.9
1563117545.05984,-86.9,-81.1,21.5
1563160752.84311,-86.6,-80.8,21.9
1563203959.35054,-87.7,-81.8,18.7
1563247167.97322,-86.1,-75.6,19.3
1563290370.583,-87.8,-77.6,18.2
1563333578.10907,-85.9,-80.1,22.1
1563376786.49635,-87.4,-81.5,19
1563419990.79936,-86.4,-80.6,21.6
1563463194.66795,-86.2,-80.3,20.8
1563506397.30129,-87.2,-78.2,19.4
1563549599.8894,-86.6,-80.8,21.6
1563592801.69496,-86.8,-81,21.3
1563636006.13011,-86.7,-80.9,20.9
1563679209.45974,-86.5,-80.6,18.9
1563722412.39948,-85.7,-79.9,21.3
1563765619.07856,-88,-82.1,19.4
1563808821.26497,-86.5,-80.7,21.8
1563852027.56829,-87.9,-77.9,16.4
1563895235.99546,-86.8,-80.9,18.6
1563938439.38465,-87,-81.1,19.6
1563981640.70153,-86.6,-80.7,19.4
1564024846.00804,-86.9,-81,19.1
1564068046.94926,-86.4,-80.6,20.2
1564111250.37509,-86.7,-80.8,18.4
1564154454.11025,-86.7,-80.9,19.6
1564197663.10185,-86.3,-80.4,18.7
1564240866.31607,-87.1,-81.2,18.5
1564284066.80074,-86.9,-77.4,19.9
1564327275.65606,-87.6,-81.7,19.6
1564370483.32882,-87.3,-81.3,17.8
1564413686.63662,-87.7,-81.7,17.7
1564456890.43043,-86.9,-81.1,20.5
1564500091.22707,-87.4,-81.5,20.1
1564543293.97494,-86.9,-81,20.1
1564586498.88212,-87.5,-81.6,19.9
1564629707.41367,-87,-81.1,18.2
1564672913.31432,-88.2,-82.3,19.3
1564716121.4742,-87.4,-81.6,21.1
1564759322.02998,-87.3,-79.1,21.2
1564802528.88468,-87.6,-81.7,19.4
1564845736.10384,-87.1,-81.3,21.2
1564888944.52772,-86.8,-81,20.6
1564932146.76294,-87.1,-81.2,21.5
1564975350.58292,-87.2,-81.3,19.5
1565018557.04993,-87.2,-81.4,19.6
1565061762.78745,-87,-81.2,20.9
1565104971.26379,-86.4,-80.5,19.4
1565148175.95646,-87.1,-81.2,19.8
1565191380.8298,-87.2,-77,18
1565234586.98126,-87.3,-81.3,18.7
1565277788.67842,-86.4,-80.6,22
1565320989.51575,-87.1,-81,19.2
1565364190.47806,-86.5,-80.7,21.1
1565407392.53715,-87.4,-81.5,19.7
1565450593.71098,-87,-79.6,21.8
1565493794.81313,-88,-81,20.1
1565536999.7656,-87.7,-80.6,19.5
1565580203.64024,-87.8,-81.9,18.4
1565623406.2573,-87.5,-81.6,19.2
1565666609.01236,NaN,NaN,NaN
1565709814.82002,-87.7,-81.8,19.1
1565753018.63253,-86.3,-80.6,22.3
1565796224.15599,-87.4,-81.5,21
1565839424.40359,-86.2,-80.3,21.3
1565882629.5123,NaN,NaN,NaN
1565925831.9801,-87,-81.2,21.3
1565969036.52684,-88.1,-82.2,18.6
1566012237.1887,-87.4,-81.5,19.8
1566055440.35967,-88.4,-82.5,20.1
1566098644.51765,-87.9,-79.6,18.7
1566141847.47315,-88.1,-82.2,20.3
1566185049.44376,-87.5,-81.7,22.1
1566228256.72487,-87.8,-82,21.7
1566271459.64053,-86.8,-81,21.7
1566314661.11201,-87.4,-81.5,20.7
1566357867.49004,-87.7,-81.9,20.1
1566401070.86879,-87.4,-81.6,20.4
1566444272.69645,-87.8,-77.6,19.8
1566487481.628,-87.4,-81.6,19.7
1566530688.4293,-87.2,-81.4,19.4
1566573895.35908,-87.5,-81.6,20.3
1566617099.45109,-88.8,-82.9,19.1
1566660302.4971,-88.5,-82.7,20.6
1566703506.39548,-89.8,-82.4,18.6
1566746710.22563,-87.5,-81.7,20.3
1566789919.16924,-88.3,-82.4,19
1566833127.79422,-88.4,-82.5,20.5
1566876335.05035,-88.3,-82.4,18.7
1566919538.37471,-89.1,-83.2,20
1566962739.06088,-89.5,-83.6,20.4
1567005946.36241,-90.5,-84.4,16.8
1567049152.51632,-89.5,-83.4,17.6
1567092355.02921,-89,-83.1,18.8
1567135557.54317,-88.8,-82.9,18.6
1567178762.91386,-89.8,-83.8,18.2
1567221969.12988,-88.8,-82.9,19.7
1567265171.46954,-90,-84.1,19.4
1567308380.3249,-89.7,-83.8,18.3
1567351584.41082,-89.5,-83.5,18
1567394792.26727,-91.1,-80.7,15.9
1567437997.57168,-88.9,-83,19.9
1567481204.50696,-89.5,-83.7,20.1
1567524410.94207,-91.2,-85.2,18.1
1567567613.034,-90.7,-84.7,18.1
1567610814.61953,-91.9,-85.8,15.1
1567654014.95275,-91.8,-85.7,15.3
1567697221.44884,-94.9,-88.7,14.4
1567740426.78741,-90.8,-84.9,17.9
1567783627.95001,-90.8,-83.7,18.6
1567826828.09731,-92.2,-86.2,15.7
1567870032.7971,-91.1,-85,15.7
1567913240.45528,-93.2,-83.1,13.8
1567956441.3096,-92.2,-86.1,15.1
1567999649.51915,-92.5,-86.5,15.9
1568042849.81724,-92.2,-86,14
1568086057.34411,-95.6,-89.5,14.8
1568129264.84986,-95.6,-89.4,13.9
1568172471.4808,-95.4,-89.4,15.9
1568215671.67072,-95.1,-89.1,15.3
1568258876.62753,-95.7,-89.6,15.4
1568302079.74626,-95.3,-89.3,16.3
1568345284.79376,-97.7,-91.4,12.9
1568388489.59508,-95.9,-89.7,14.9
1568431696.94129,-95.6,-89.5,15.5
1568474903.54492,-94.8,-86.4,15.8
1568518110.19371,-96.9,-90.6,13.9
1568561314.4945,-94.3,-88.3,15.9
1568604515.12856,-96,-89.8,15.1
1568647723.05875,-93.6,-87.7,16.8
1568690930.50808,-95.3,-89.2,15.9
1568734131.7964,-95.4,-85.5,13.3
1568777340.6461,-95.8,-89.8,16.2
1568820547.53039,-97.2,-91,13.7
1568863748.99334,-97.9,-91.6,12.7
1568906953.04352,-97.3,-90.9,13.1
1568950158.42556,-100.2,-93.3,10.5
1568993364.22234,-98.5,-92.2,13.1
1569036569.10472,-98,-89.1,11.6
1569079774.38952,-98.6,-92.1,11.7
1569122975.04543,-96.8,-90.5,13.4
1569166176.88789,-98.8,-92.4,12.7
1569209379.684,-98.4,-89.6,12.1
1569252587.89434,-98.6,-92.3,13.1
1569295794.83014,-95.9,-89.8,15.9
1569339001.06996,-99.3,-92.9,12.7
1569382207.85896,-97.9,-91.5,13.2
1569425411.59833,-98.5,-92.2,13.3
1569468620.58104,-97.1,-91,14.9
1569511822.07563,-97.1,-86.9,13.6
1569555024.9932,-97.9,-91.7,13.7
1569598225.30135,-96.6,-90.4,13.9
1569641426.1198,-97.1,-90.9,14.4
1569684627.01525,-95.8,-89.7,14.7
1569727835.10525,-98,-91.7,13.7
1569771040.01244,-96.4,-90.2,14.3
1569814246.10101,-99.3,-91.6,12.2
1569857454.01795,-96.8,-90.6,14.4
1569900661.115,-97.9,-91.7,13.5
1569943864.38379,-96.9,-90.8,14.1
1569987071.8878,-96.6,-90.5,15.2
1570030272.11572,-95.8,-89.8,16.4
1570073475.33417,-98,-91.6,12.5
1570116682.33133,-97.9,-91.5,13.2
1570159884.28881,-97.3,-91.1,14.2
1570203085.56718,-97.3,-91.1,14
1570246285.95182,-98.8,-92.3,11.8
1570289493.66558,-98.1,-89.5,12.3
1570332694.55374,-96.6,-90.5,14.9
1570375899.42506,-99.2,-92.6,11.6
1570419107.55452,-96.8,-90.6,13.8
1570462309.64885,-101.6,-90.5,8.4
1570505514.36122,-96.1,-89.9,13.7
1570548714.77905,-99.1,-92.6,11.7
1570591922.40565,-97.3,-91.1,13.6
1570635124.02117,-99.4,-92.7,10.6
1570678328.10668,NaN,NaN,NaN
1570721532.77318,-99.8,-89.6,10.8
1570764735.75167,-99.7,-93,10.9
1570807943.62153,-100,-93.4,11.6
1570851149.70553,-99.3,-92.7,11.5
1570894356.53477,-102.3,-94.9,8.5
1570937556.97504,-99.5,-92.8,10.7
1570980764.55661,-103.8,-96.5,8.7
1571023969.54081,-100.4,-93.6,10.7
1571067177.15957,-101.8,-94.5,8.7
1571110383.69083,-103.1,-94.6,8.1
1571153589.87803,-99.5,-93,12.2
1571196790.43619,-99.5,-93,11.7
1571239998.7814,-98.9,-92.4,11.8
1571283204.99216,-100.5,-90.6,10.6
1571326411.94145,-98.2,-91.9,13.8
1571369612.29213,-100.6,-93.8,10.5
1571412818.2262,-101,-90.9,9.6
1571456021.31182,-100.3,-93.8,11.8
1571499224.05144,-99.7,-89.2,10.9
1571542431.2792,-100.1,-93.4,10.9
1571585632.46435,-101.1,-94.1,9.2
1571628839.16499,-100.2,-93.6,11.1
1571672041.54458,-101.4,-94.5,10.3
1571715244.01694,-99.6,-93.2,12.6
1571758447.22703,-100.5,-93.9,11.8
1571801650.58065,-99,-92.7,12.4
1571844850.87766,-99.8,-90,12
1571888055.33171,-99.1,-92.7,12.4
1571931257.26201,-99.2,-92.7,12.7
1571974458.96669,-99.4,-92.9,12.2
1572017661.31975,-99.3,-92.9,13
1572060865.21118,-99.4,-92.9,11.6
1572104071.7243,-101.2,-94.3,10.2
